drug_name,target_gene
levonordefrin,ADRA1A
levonordefrin,ADRA1B
levonordefrin,ADRA1D
levonordefrin,ADRA2A
levonordefrin,ADRA2B
levonordefrin,ADRA2C
levonordefrin,SLC6A2
ergotamine,ADRA1A
ergotamine,ADRA1B
ergotamine,ADRA1D
ergotamine,ADRA2A
ergotamine,ADRA2B
ergotamine,DRD1
ergotamine,DRD2
ergotamine,DRD5
ergotamine,HTR1A
ergotamine,HTR1B
ergotamine,HTR1D
ergotamine,HTR1E
ergotamine,HTR1F
ergotamine,HTR2A
ergotamine,HTR2B
ergotamine,HTR2C
ergotamine,HTR5A
ergotamine,HTR6
ergotamine,SLC6A2
amitriptyline,ADRA1A
amitriptyline,ADRA1B
amitriptyline,ADRA1D
amitriptyline,ADRA2A
amitriptyline,ADRB1
amitriptyline,ADRB2
amitriptyline,ADRB3
amitriptyline,CHRM1
amitriptyline,CHRM2
amitriptyline,CHRM3
amitriptyline,CHRM4
amitriptyline,CHRM5
amitriptyline,HRH1
amitriptyline,HRH2
amitriptyline,HRH4
amitriptyline,HTR1A
amitriptyline,HTR1B
amitriptyline,HTR1D
amitriptyline,HTR2A
amitriptyline,HTR2C
amitriptyline,HTR6
amitriptyline,HTR7
amitriptyline,KCNA1
amitriptyline,KCND2
amitriptyline,KCND3
amitriptyline,KCNQ2
amitriptyline,KCNQ3
amitriptyline,NTRK1
amitriptyline,NTRK2
amitriptyline,OPRD1
amitriptyline,OPRK1
amitriptyline,OPRM1
amitriptyline,SIGMAR1
amitriptyline,SLC6A2
amitriptyline,SLC6A4
indoramin,ADRA1A
indoramin,ADRA1B
indoramin,ADRA1D
indoramin,ADRA2B
indoramin,ADRA2C
promazine,ADRA1A
promazine,ADRA1B
promazine,ADRA1D
promazine,CHRM1
promazine,CHRM2
promazine,CHRM3
promazine,CHRM4
promazine,CHRM5
promazine,DRD1
promazine,DRD2
promazine,DRD3
promazine,DRD4
promazine,HRH1
promazine,HTR2A
promazine,HTR2C
imipramine,ADRA1A
imipramine,ADRA1B
imipramine,ADRA1D
imipramine,CHRM1
imipramine,CHRM2
imipramine,CHRM3
imipramine,CHRM4
imipramine,CHRM5
imipramine,DRD1
imipramine,DRD2
imipramine,DRD5
imipramine,HRH1
imipramine,HTR1A
imipramine,HTR2A
imipramine,HTR2C
imipramine,HTR6
imipramine,HTR7
imipramine,KCND2
imipramine,KCND3
imipramine,KCNH1
imipramine,KCNH2
imipramine,SLC6A2
imipramine,SLC6A3
imipramine,SLC6A4
cyproheptadine,ADRA1A
cyproheptadine,ADRA1B
cyproheptadine,ADRA1D
cyproheptadine,CHRM1
cyproheptadine,CHRM2
cyproheptadine,CHRM3
cyproheptadine,HRH1
cyproheptadine,HTR2A
cyproheptadine,HTR2C
cyproheptadine,HTR6
cyproheptadine,HTR7
spiperone,ADRA1A
spiperone,ADRA1B
spiperone,ADRA1D
spiperone,DRD1
spiperone,DRD2
spiperone,DRD3
spiperone,DRD4
spiperone,DRD5
spiperone,HTR1A
spiperone,HTR1D
spiperone,HTR2A
spiperone,HTR2B
spiperone,HTR2C
spiperone,HTR6
spiperone,HTR7
ketanserin,ADRA1A
ketanserin,ADRA1B
ketanserin,ADRA1D
ketanserin,DRD1
ketanserin,DRD5
ketanserin,HTR1A
ketanserin,HTR1B
ketanserin,HTR1D
ketanserin,HTR2A
ketanserin,HTR2B
ketanserin,HTR2C
ketanserin,HTR5A
ketanserin,HTR7
ketanserin,SLC18A1
ketanserin,SLC18A2
clorotepine,ADRA1A
clorotepine,ADRA1B
clorotepine,ADRA1D
clorotepine,DRD2
clorotepine,HRH1
clorotepine,HTR2C
clorotepine,HTR6
mianserin,ADRA1A
mianserin,ADRA1B
mianserin,ADRA1D
mianserin,HRH1
mianserin,HRH2
mianserin,HTR2A
mianserin,HTR2B
mianserin,HTR2C
mianserin,HTR6
mianserin,HTR7
alfuzosin,ADRA1A
alfuzosin,ADRA1B
alfuzosin,ADRA1D
alfuzosin,SCN10A
alfuzosin,SCN11A
alfuzosin,SCN1A
alfuzosin,SCN2A
alfuzosin,SCN3A
alfuzosin,SCN4A
alfuzosin,SCN5A
alfuzosin,SCN7A
alfuzosin,SCN8A
alfuzosin,SCN9A
olanzapine,ADRA1A
olanzapine,ADRA1B
olanzapine,ADRA2A
olanzapine,ADRA2B
olanzapine,ADRA2C
olanzapine,ADRB1
olanzapine,ADRB2
olanzapine,ADRB3
olanzapine,CHRM1
olanzapine,CHRM2
olanzapine,CHRM3
olanzapine,CHRM4
olanzapine,CHRM5
olanzapine,DRD1
olanzapine,DRD2
olanzapine,DRD3
olanzapine,DRD4
olanzapine,DRD5
olanzapine,GABRA1
olanzapine,GABRA2
olanzapine,GABRA3
olanzapine,GABRA4
olanzapine,GABRA5
olanzapine,GABRA6
olanzapine,GABRB1
olanzapine,GABRB2
olanzapine,GABRB3
olanzapine,GABRD
olanzapine,GABRE
olanzapine,GABRG1
olanzapine,GABRG2
olanzapine,GABRG3
olanzapine,GABRP
olanzapine,GABRQ
olanzapine,HRH1
olanzapine,HRH2
olanzapine,HRH4
olanzapine,HTR1A
olanzapine,HTR1B
olanzapine,HTR1D
olanzapine,HTR1E
olanzapine,HTR1F
olanzapine,HTR2A
olanzapine,HTR2B
olanzapine,HTR2C
olanzapine,HTR3A
olanzapine,HTR5A
olanzapine,HTR6
olanzapine,HTR7
loxapine,ADRA1A
loxapine,ADRA1B
loxapine,ADRA2A
loxapine,ADRA2B
loxapine,ADRA2C
loxapine,ADRB1
loxapine,CHRM1
loxapine,CHRM2
loxapine,CHRM3
loxapine,CHRM4
loxapine,CHRM5
loxapine,DRD1
loxapine,DRD2
loxapine,DRD3
loxapine,DRD4
loxapine,DRD5
loxapine,HRH1
loxapine,HRH2
loxapine,HRH4
loxapine,HTR1A
loxapine,HTR1B
loxapine,HTR1D
loxapine,HTR1E
loxapine,HTR2A
loxapine,HTR2C
loxapine,HTR3A
loxapine,HTR5A
loxapine,HTR6
loxapine,HTR7
loxapine,SLC6A2
loxapine,SLC6A3
loxapine,SLC6A4
aripiprazole,ADRA1A
aripiprazole,ADRA1B
aripiprazole,ADRA2A
aripiprazole,ADRA2B
aripiprazole,ADRA2C
aripiprazole,CHRM1
aripiprazole,CHRM2
aripiprazole,CHRM3
aripiprazole,CHRM4
aripiprazole,CHRM5
aripiprazole,DRD1
aripiprazole,DRD2
aripiprazole,DRD3
aripiprazole,DRD4
aripiprazole,DRD5
aripiprazole,HRH1
aripiprazole,HTR1A
aripiprazole,HTR1B
aripiprazole,HTR1D
aripiprazole,HTR1E
aripiprazole,HTR2A
aripiprazole,HTR2C
aripiprazole,HTR3A
aripiprazole,HTR6
aripiprazole,HTR7
ziprasidone,ADRA1A
ziprasidone,ADRA1B
ziprasidone,ADRA2A
ziprasidone,ADRA2B
ziprasidone,ADRA2C
ziprasidone,CHRM1
ziprasidone,CHRM2
ziprasidone,CHRM3
ziprasidone,CHRM4
ziprasidone,CHRM5
ziprasidone,DRD1
ziprasidone,DRD2
ziprasidone,DRD3
ziprasidone,DRD4
ziprasidone,DRD5
ziprasidone,HRH1
ziprasidone,HTR1A
ziprasidone,HTR1B
ziprasidone,HTR1D
ziprasidone,HTR1E
ziprasidone,HTR2A
ziprasidone,HTR2C
ziprasidone,HTR3A
ziprasidone,HTR6
ziprasidone,HTR7
ziprasidone,SLC6A4
acepromazine,ADRA1A
acepromazine,ADRA1B
acepromazine,DRD1
acepromazine,DRD2
acepromazine,HTR1A
acepromazine,HTR2A
thioproperazine,ADRA1A
thioproperazine,ADRA1B
thioproperazine,DRD1
thioproperazine,DRD2
thioproperazine,HTR1A
thioproperazine,HTR2A
amitraz,ADRA1A
amitraz,ADRA2A
naphazoline,ADRA1A
naphazoline,ADRA2A
apraclonidine,ADRA1A
apraclonidine,ADRA2A
apraclonidine,ADRA2B
apraclonidine,ADRA2C
lisuride,ADRA1A
lisuride,ADRA2A
lisuride,ADRA2B
lisuride,ADRA2C
lisuride,DRD1
lisuride,DRD2
lisuride,DRD3
lisuride,DRD4
lisuride,DRD5
lisuride,HTR1A
lisuride,HTR1B
lisuride,HTR1D
lisuride,HTR2A
lisuride,HTR2B
lisuride,HTR2C
lisuride,HTR6
terguride,ADRA1A
terguride,ADRA2A
terguride,ADRA2B
terguride,ADRA2C
terguride,DRD2
terguride,DRD3
terguride,DRD4
terguride,HTR1A
terguride,HTR1B
terguride,HTR1D
terguride,HTR2A
terguride,HTR2B
terguride,HTR2C
tolazoline,ADRA1A
tolazoline,ADRA2A
tolazoline,ADRA2B
tolazoline,ADRA2C
tolazoline,HRH1
tolazoline,HRH2
piribedil,ADRA1A
piribedil,ADRA2A
piribedil,ADRA2C
piribedil,DRD2
piribedil,DRD3
piribedil,DRD4
piribedil,HTR1A
piribedil,HTR2B
ephedrine-(racemic),ADRA1A
ephedrine-(racemic),ADRA2A
ephedrine-(racemic),ADRB1
ephedrine-(racemic),ADRB2
ephedrine-(racemic),ATF1
ephedrine-(racemic),ATF2
ephedrine-(racemic),ATF3
ephedrine-(racemic),ATF4
ephedrine-(racemic),ATF5
ephedrine-(racemic),ATF6
ephedrine-(racemic),ATF7
ephedrine-(racemic),FOS
ephedrine-(racemic),IL2
ephedrine-(racemic),JDP2
ephedrine-(racemic),JUN
ephedrine-(racemic),NFATC1
ephedrine-(racemic),SLC6A2
ephedrine-(racemic),SLC6A3
ephedrine-(racemic),SLC6A4
ephedrine-(racemic),TNF
zuclopenthixol,ADRA1A
zuclopenthixol,ADRA2A
zuclopenthixol,DRD1
zuclopenthixol,DRD2
zuclopenthixol,DRD5
zuclopenthixol,HRH1
zuclopenthixol,HTR2A
trazodone,ADRA1A
trazodone,ADRA2A
trazodone,HRH1
trazodone,HTR1A
trazodone,HTR2A
trazodone,HTR2B
trazodone,HTR2C
trazodone,SLC6A4
iloperidone,ADRA1A
iloperidone,ADRA2C
iloperidone,DRD1
iloperidone,DRD2
iloperidone,DRD3
iloperidone,DRD4
iloperidone,HRH1
iloperidone,HTR1A
iloperidone,HTR2A
iloperidone,HTR6
iloperidone,HTR7
etilefrine,ADRA1A
etilefrine,ADRB1
dihydroergocristine,ADRA1A
dihydroergocristine,ADRB1
dihydroergocristine,DRD1
dihydroergocristine,DRD2
dihydroergocristine,DRD3
dihydroergocristine,DRD4
dihydroergocristine,DRD5
dihydroergocristine,HTR1A
dihydroergocristine,HTR2A
dihydroergocristine,HTR3A
dihydroergocristine,HTR4
dihydroergocristine,HTR5A
dihydroergocristine,HTR6
dihydroergocristine,HTR7
trifluoperazine,ADRA1A
trifluoperazine,CALM1
trifluoperazine,CALY
trifluoperazine,DRD2
trifluoperazine,DRD4
trifluoperazine,HRH1
trifluoperazine,HTR2A
trifluoperazine,HTR2C
trifluoperazine,S100A4
trifluoperazine,TNNC1
flupentixol,ADRA1A
flupentixol,CHRM1
flupentixol,DRD1
flupentixol,DRD2
flupentixol,DRD3
flupentixol,DRD5
flupentixol,HTR2A
citalopram,ADRA1A
citalopram,CHRM1
citalopram,HRH1
citalopram,SLC6A2
citalopram,SLC6A3
citalopram,SLC6A4
droperidol,ADRA1A
droperidol,DRD2
droperidol,DRD3
droperidol,DRD4
droperidol,HTR2A
ergonovine,ADRA1A
ergonovine,HTR1E
labetalol,ADRA1D
labetalol,ADRB1
labetalol,ADRB2
detomidine,ADRA2A
rilmenidine,ADRA2A
tolonidine,ADRA2A
brimonidine,ADRA2A
brimonidine,ADRA2B
brimonidine,ADRA2C
dexmedetomidine,ADRA2A
dexmedetomidine,ADRA2B
dexmedetomidine,ADRA2C
guanaben-acetate,ADRA2A
guanaben-acetate,ADRA2B
guanaben-acetate,ADRA2C
guanfacine,ADRA2A
guanfacine,ADRA2B
guanfacine,ADRA2C
moxonidine,ADRA2A
moxonidine,ADRA2B
moxonidine,ADRA2C
xylazine,ADRA2A
xylazine,ADRA2B
xylazine,ADRA2C
(R)-(-)-apomorphine,ADRA2A
(R)-(-)-apomorphine,ADRA2B
(R)-(-)-apomorphine,ADRA2C
(R)-(-)-apomorphine,CALY
(R)-(-)-apomorphine,DRD1
(R)-(-)-apomorphine,DRD2
(R)-(-)-apomorphine,DRD3
(R)-(-)-apomorphine,DRD4
(R)-(-)-apomorphine,DRD5
(R)-(-)-apomorphine,HTR1A
(R)-(-)-apomorphine,HTR1B
(R)-(-)-apomorphine,HTR1D
(R)-(-)-apomorphine,HTR2A
(R)-(-)-apomorphine,HTR2B
(R)-(-)-apomorphine,HTR2C
(R)-(-)-apomorphine,HTR5A
methyldopa,ADRA2A
methyldopa,ADRA2B
methyldopa,ADRA2C
methyldopa,DDC
pramipexole,ADRA2A
pramipexole,ADRA2B
pramipexole,ADRA2C
pramipexole,DRD1
pramipexole,DRD2
pramipexole,DRD3
pramipexole,DRD4
pramipexole,DRD5
pramipexole,HTR1A
pramipexole,HTR1B
pramipexole,HTR1D
pramipexole,HTR2A
pramipexole,HTR2B
pramipexole,HTR2C
ropinirole,ADRA2A
ropinirole,ADRA2B
ropinirole,ADRA2C
ropinirole,DRD1
ropinirole,DRD2
ropinirole,DRD3
ropinirole,DRD4
ropinirole,DRD5
ropinirole,HTR1A
ropinirole,HTR1B
ropinirole,HTR1D
ropinirole,HTR2A
ropinirole,HTR2B
ropinirole,HTR2C
yohimbine,ADRA2A
yohimbine,ADRA2B
yohimbine,ADRA2C
yohimbine,DRD2
yohimbine,DRD3
yohimbine,HTR1A
yohimbine,HTR1B
yohimbine,HTR1D
yohimbine,HTR1E
yohimbine,HTR1F
yohimbine,HTR2A
yohimbine,HTR2B
yohimbine,HTR2C
yohimbine,HTR5A
yohimbine,HTR7
yohimbine,KCNJ1
yohimbine,KCNJ10
yohimbine,KCNJ11
yohimbine,KCNJ12
yohimbine,KCNJ14
yohimbine,KCNJ15
yohimbine,KCNJ8
mirtazapine,ADRA2A
mirtazapine,ADRA2B
mirtazapine,ADRA2C
mirtazapine,HTR2A
mirtazapine,HTR2C
tizanidine,ADRA2A
tizanidine,ADRA2B
tizanidine,ADRA2C
tizanidine,NISCH
lurasidone,ADRA2A
lurasidone,ADRA2C
lurasidone,DRD2
lurasidone,HTR1A
lurasidone,HTR2A
lurasidone,HTR7
celiprolol,ADRA2A
celiprolol,ADRB1
celiprolol,ADRB2
dihydroergotamine,ADRA2A
dihydroergotamine,DRD2
dihydroergotamine,HTR1B
dihydroergotamine,HTR1D
dihydroergotamine,HTR1E
dihydroergotamine,HTR1F
dihydroergotamine,HTR2B
dihydroergotamine,HTR7
talipexole,ADRA2A
talipexole,DRD2
talipexole,HTR3A
flupirtine,ADRA2A
flupirtine,KCNQ1
flupirtine,KCNQ2
rotigotine,ADRA2B
rotigotine,DRD1
rotigotine,DRD2
rotigotine,DRD3
rotigotine,DRD4
rotigotine,DRD5
rotigotine,HTR1A
zotepine,ADRA2B
zotepine,DRD2
zotepine,DRD3
zotepine,DRD4
zotepine,HRH1
zotepine,HTR1A
zotepine,HTR1B
zotepine,HTR1D
zotepine,HTR1E
zotepine,HTR2A
zotepine,HTR2C
zotepine,HTR6
zotepine,HTR7
zotepine,SLC6A2
zotepine,SLC6A4
etomidate,ADRA2B
etomidate,GABRA1
etomidate,GABRA2
etomidate,GABRA3
etomidate,GABRA4
etomidate,GABRA5
etomidate,GABRA6
etomidate,GABRB1
etomidate,GABRB2
etomidate,GABRB3
etomidate,GABRD
etomidate,GABRE
etomidate,GABRG1
etomidate,GABRG2
etomidate,GABRG3
etomidate,GABRP
etomidate,GABRQ
acebutolol,ADRB1
bisoprolol,ADRB1
esmolol,ADRB1
landiolol,ADRB1
nebivolol,ADRB1
oxprenolol,ADRB1
talinolol,ADRB1
alprenolol,ADRB1
alprenolol,ADRB2
betaxolol,ADRB1
betaxolol,ADRB2
clorprenaline,ADRB1
clorprenaline,ADRB2
dobutamine,ADRB1
dobutamine,ADRB2
indacaterol,ADRB1
indacaterol,ADRB2
levobetaxolol,ADRB1
levobetaxolol,ADRB2
metoprolol,ADRB1
metoprolol,ADRB2
nifenalol,ADRB1
nifenalol,ADRB2
propranolol,ADRB1
propranolol,ADRB2
timolol,ADRB1
timolol,ADRB2
bupranolol,ADRB1
bupranolol,ADRB2
bupranolol,ADRB3
carazolol,ADRB1
carazolol,ADRB2
carazolol,ADRB3
carteolol,ADRB1
carteolol,ADRB2
carteolol,ADRB3
carvedilol,ADRB1
carvedilol,ADRB2
carvedilol,ADRB3
cloranolol,ADRB1
cloranolol,ADRB2
cloranolol,ADRB3
isoprenaline,ADRB1
isoprenaline,ADRB2
isoprenaline,ADRB3
levobunolol,ADRB1
levobunolol,ADRB2
levobunolol,ADRB3
mirabegron,ADRB1
mirabegron,ADRB2
mirabegron,ADRB3
nadolol,ADRB1
nadolol,ADRB2
nadolol,ADRB3
penbutolol,ADRB1
penbutolol,ADRB2
penbutolol,HTR1A
penbutolol,HTR1B
pindolol,ADRB1
pindolol,ADRB2
pindolol,HTR1A
pindolol,HTR2A
pindolol,HTR2B
propafenone,ADRB1
propafenone,ADRB2
propafenone,KCNA5
propafenone,KCNH2
sotalol,ADRB1
sotalol,ADRB2
sotalol,KCNH2
atenolol-(+/-),ADRB1
atenolol-(+/-),ADRB2
atenolol-(+/-),LTF
atenolol-(+/-),PLA2G2E
amiodarone,ADRB1
amiodarone,CACNA1H
amiodarone,CACNA2D2
amiodarone,KCNA7
amiodarone,KCNH2
albuterol,ADRB2
amezinium,ADRB2
buphenine,ADRB2
formoterol,ADRB2
hexoprenaline,ADRB2
isoxsuprine,ADRB2
levalbuterol,ADRB2
mabuterol,ADRB2
metaproterenol,ADRB2
procaterol,ADRB2
salmeterol,ADRB2
terbutaline,ADRB2
tulobuterol,ADRB2
vilanterol,ADRB2
zilpaterol,ADRB2
trimethoquinol,ADRB2
trimethoquinol,ADRB3
bambuterol,ADRB2
bambuterol,BCHE
arotinolol,ADRB3
benfotiamine,AGER
candesartan,AGTR1
eprosartan,AGTR1
fimasartan,AGTR1
losartan,AGTR1
olmesartan,AGTR1
olmesartan-medoxomil,AGTR1
valsartan,AGTR1
azilsartan,AGTR1
azilsartan,AGTR2
azilsartan-medoxomil,AGTR1
azilsartan-medoxomil,AGTR2
delivert,AGTR1
delivert,AGTR2
irbesartan,AGTR1
irbesartan,JUN
irbesartan,SLC10A1
telmisartan,AGTR1
telmisartan,PPARG
nadide,AHCY
nadide,AKR1A1
nadide,ALDH2
nadide,BLVRA
nadide,DHPS
nadide,DLD
nadide,GALE
nadide,HMGCR
nadide,HSD17B1
nadide,HSD17B4
nadide,IMPDH2
nadide,MGAM
nadide,P2RY11
nadide,SORD
nadide,TRPM2
diosmin,AHR
flutamide,AHR
flutamide,AR
leflunomide,AHR
leflunomide,DHODH
leflunomide,PTK2B
atorvastatin,AHR
atorvastatin,DPP4
atorvastatin,HMGCR
epalrestat,AKR1B1
sulindac,AKR1B1
aspirin,AKR1C1
aspirin,ASIC3
aspirin,EDNRA
aspirin,HSPA5
aspirin,IKBKB
aspirin,NFKB1
aspirin,NFKB2
aspirin,NFKBIA
aspirin,PRKAA1
aspirin,PRKAA2
aspirin,PRKAB1
aspirin,PRKAB2
aspirin,PRKAG1
aspirin,PRKAG2
aspirin,PRKAG3
aspirin,PTGS1
aspirin,PTGS2
aspirin,RPS6KA3
aspirin,TP53
salicylic-acid,AKR1C1
salicylic-acid,ASIC3
salicylic-acid,PTGS1
salicylic-acid,PTGS2
hexestrol,AKR1C1
hexestrol,ESR1
hexestrol,ESR2
ursodiol,AKR1C2
ursodiol,NR1H4
rutin,AKR1C3
diclofenac,AKR1C3
diclofenac,ALOX5
diclofenac,ASIC1
diclofenac,ASIC3
diclofenac,KCNQ2
diclofenac,KCNQ3
diclofenac,PLA2G2A
diclofenac,PPARG
diclofenac,PTGS1
diclofenac,PTGS2
diclofenac,SCN4A
bimatoprost,AKR1C3
bimatoprost,PTGER1
bimatoprost,PTGER3
bimatoprost,PTGFR
finasteride,AKR1D1
finasteride,SRD5A1
finasteride,SRD5A2
azelaic-acid,AKR1D1
azelaic-acid,SRD5A2
azelaic-acid,TYR
arsenic-trioxide,AKT1
arsenic-trioxide,CCND1
arsenic-trioxide,IKBKB
arsenic-trioxide,JUN
arsenic-trioxide,MAPK1
arsenic-trioxide,MAPK3
arsenic-trioxide,TXNRD1
5-aminolevulinic-acid,ALAD
iodipamide,ALB
sodium-dodecyl-sulfate,ALB
retinol,ALDH1A1
retinol,ALDH1A2
retinol,ALDH1A3
retinol,DHRS3
retinol,DHRS4
retinol,LRAT
retinol,NR2C2
retinol,RBP1
retinol,RBP3
retinol,RDH11
retinol,RDH12
retinol,RDH13
retinol,RDH14
retinol,RDH5
retinol,RDH8
retinol,RETSAT
retinol,RHO
retinol,RLBP1
retinol,RXRA
retinol,RXRB
retinol,RXRG
tretinoin,ALDH1A1
tretinoin,ALDH1A2
tretinoin,GPRC5A
tretinoin,NR0B1
tretinoin,NR2C2
tretinoin,PPARD
tretinoin,RARA
tretinoin,RARB
tretinoin,RARG
tretinoin,RARRES1
tretinoin,RORB
tretinoin,RORC
tretinoin,RXRB
tretinoin,RXRG
disulfiram,ALDH2
disulfiram,DBH
guanidine,ALDH2
guanidine,DLG4
guanidine,GAMT
guanidine,RNASE1
succinic-acid,ALDH5A1
succinic-acid,ASPH
succinic-acid,BBOX1
succinic-acid,HSD17B6
succinic-acid,OXCT1
succinic-acid,OXCT2
succinic-acid,P3H1
succinic-acid,P3H2
succinic-acid,P3H3
succinic-acid,P4HA1
succinic-acid,P4HA2
succinic-acid,PLOD1
succinic-acid,PLOD3
succinic-acid,SDHA
succinic-acid,SDHB
succinic-acid,SDHC
succinic-acid,SDHD
succinic-acid,SLC13A1
succinic-acid,SLC13A2
succinic-acid,SLC13A3
succinic-acid,SLC25A10
succinic-acid,SUCLA2
succinic-acid,SUCLG1
succinic-acid,SUCLG2
succinic-acid,SUCNR1
succinic-acid,TMLHE
lorlatinib,ALK
brigatinib,ALK
brigatinib,EGFR
PF-06463922,ALK
PF-06463922,FES
PF-06463922,ROS1
ceritinib,ALK
ceritinib,FLT3
ceritinib,IGF1R
ceritinib,INSR
ceritinib,TSSK1B
alectinib,ALK
alectinib,MET
crizotinib,ALK
crizotinib,MET
entrectinib,ALK
entrectinib,NTRK1
entrectinib,NTRK2
entrectinib,NTRK3
entrectinib,ROS1
ibuproxam,ALOX5
masoprocol,ALOX5
silibinin,ALOX5
tepoxalin,ALOX5
zileuton,ALOX5
mesalazine,ALOX5
mesalazine,CHUK
mesalazine,IKBKB
mesalazine,MPO
mesalazine,PPARG
mesalazine,PTGS1
mesalazine,PTGS2
aminosalicylate,ALOX5
aminosalicylate,CHUK
aminosalicylate,PLA2G2E
aminosalicylate,PTGS1
aminosalicylate,PTGS2
meclofenamic-acid,ALOX5
meclofenamic-acid,CNR1
meclofenamic-acid,KCNQ2
meclofenamic-acid,KCNQ3
meclofenamic-acid,PTGS1
meclofenamic-acid,PTGS2
montelukast,ALOX5
montelukast,CYSLTR1
vitamin-E,ALOX5
vitamin-E,DGKA
vitamin-E,NR1I2
vitamin-E,PPP2CA
vitamin-E,PPP2CB
vitamin-E,PRKCA
vitamin-E,PRKCB
vitamin-E,SEC14L2
vitamin-E,SEC14L3
vitamin-E,SEC14L4
balsalazide,ALOX5
balsalazide,PPARG
balsalazide,PTGS1
balsalazide,PTGS2
diethylcarbamazine,ALOX5
diethylcarbamazine,PTGS1
tetramisole,ALPPL2
tetramisole,CHRNA3
amifostine,ALPPL2
amifostine,ENPP1
trometamol,AMD1
trometamol,CANT1
trometamol,DCN
trometamol,NEIL1
trometamol,VEGFA
acarbose,AMY2A
acarbose,MGAM
tannic-acid,ANO1
niflumic-acid,ANO1
niflumic-acid,CLCN1
niflumic-acid,CLCNKA
niflumic-acid,CLCNKB
niflumic-acid,KCNQ1
niflumic-acid,PLA2G1B
niflumic-acid,PLA2G4A
niflumic-acid,PTGS1
niflumic-acid,PTGS2
niflumic-acid,UGT1A9
fluoxetine,ANO1
fluoxetine,HTR2B
fluoxetine,SLC6A4
ezetimibe,ANPEP
ezetimibe,NPC1L1
ezetimibe,SOAT1
dexamethasone,ANXA1
dexamethasone,NOS2
dexamethasone,NR0B1
dexamethasone,NR3C1
dexamethasone,NR3C2
hydrocortisone,ANXA1
hydrocortisone,NOS2
hydrocortisone,NR3C1
hydrocortisone,NR3C2
amiloride,AOC1
amiloride,ASIC1
amiloride,ASIC2
amiloride,ASIC3
amiloride,PKD2
amiloride,PKD2L1
amiloride,PLAU
amiloride,SCNN1A
amiloride,SCNN1B
amiloride,SCNN1D
amiloride,SCNN1G
amiloride,SLC9A1
amiloride,TRPC7
amiloride,TRPV2
menadione,AOX1
menadione,BGLAP
menadione,F10
menadione,F2
menadione,F7
menadione,F9
menadione,GGCX
menadione,NQO1
menadione,NQO2
menadione,PROC
menadione,PROS1
menadione,PROZ
menadione,VKORC1
menadione,VKORC1L1
curcumin,APP
curcumin,CA1
curcumin,CA12
curcumin,CA14
curcumin,CA2
curcumin,CA4
curcumin,CA6
curcumin,CA9
curcumin,CHRM3
curcumin,CYP3A4
curcumin,DNMT3B
curcumin,EP300
curcumin,MMP13
curcumin,MMP9
curcumin,NOS2
curcumin,PTGS1
curcumin,PTGS2
curcumin,XDH
acetazolamide,AQP1
acetazolamide,CA1
acetazolamide,CA12
acetazolamide,CA14
acetazolamide,CA2
acetazolamide,CA3
acetazolamide,CA4
acetazolamide,CA7
phloretin,AQP9
phloretin,CLCN3
phloretin,SLC23A1
bicalutamide,AR
darolutamide,AR
dromostanolone-propionate,AR
enzalutamide,AR
epitiostanol,AR
eugenol,AR
nilutamide,AR
pyrvinium-pamoate,AR
spironolactone,AR
spironolactone,CACNA1A
spironolactone,CACNA1B
spironolactone,CACNA1C
spironolactone,CACNA1D
spironolactone,CACNA1F
spironolactone,CACNA1G
spironolactone,CACNA1H
spironolactone,CACNA1I
spironolactone,CACNA1S
spironolactone,CACNA2D1
spironolactone,CACNA2D2
spironolactone,CACNA2D3
spironolactone,CACNB1
spironolactone,CACNB2
spironolactone,CACNB3
spironolactone,CACNB4
spironolactone,CACNG1
spironolactone,CYP11B2
spironolactone,NR3C1
spironolactone,NR3C2
spironolactone,PGR
spironolactone,SHBG
danazol,AR
danazol,CCL2
danazol,ESR1
danazol,GNRHR
danazol,GNRHR2
danazol,PGR
dehydroepiandrosterone-sulfate,AR
dehydroepiandrosterone-sulfate,ESR1
dehydroepiandrosterone-sulfate,ESR2
17-hydroxyprogesterone-caproate,AR
17-hydroxyprogesterone-caproate,ESR1
17-hydroxyprogesterone-caproate,ESR2
17-hydroxyprogesterone-caproate,NR1H4
17-hydroxyprogesterone-caproate,NR1I2
17-hydroxyprogesterone-caproate,NR3C1
17-hydroxyprogesterone-caproate,PGR
gestrinone,AR
gestrinone,ESR1
gestrinone,PGR
norgestrel,AR
norgestrel,ESR1
norgestrel,PGR
norgestrel,SRD5A1
mifepristone,AR
mifepristone,NR1I2
mifepristone,NR3C1
mifepristone,PGR
drospirenone,AR
drospirenone,NR3C2
drospirenone,PGR
urea,ARG1
urea,CA2
urea,CTNNB1
L-arginine,ARG2
L-arginine,ASL
L-arginine,ASS1
L-arginine,AZIN2
L-arginine,GPRC6A
L-arginine,NOS2
L-arginine,NOS3
L-arginine,SLC7A1
L-arginine,SLC7A3
L-arginine,SLC7A4
eflornithine,ARG2
eflornithine,ODC1
nafamostat,ASIC1
nafamostat,ASIC2
nafamostat,ASIC3
nafamostat,C1R
nafamostat,PRSS1
nafamostat,TPSAB1
nafamostat,TRPM7
ibuprofen-(S),ASIC1
ibuprofen-(S),PTGS1
ibuprofen-(S),PTGS2
ibuprofen-(S),SLC5A8
melatonin,ASMT
melatonin,CALM1
melatonin,CALR
melatonin,EPX
